OBJECTID,ASSETID,ID,Location,TOOLTIP,NLA_URL
1513,17958,20353,KELTON  AV  AT  REGENT  ST,KELTON  AV  AT  REGENT  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=20353
1514,17962,17574,ALMA  ST   AT   24TH  ST,ALMA  ST   AT   24TH  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=17574
1515,17968,19422,RAYFORD DR AT 83rd ST,RAYFORD DR AT 83rd ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=19422
1516,17996,20912,MITCHELL  AV  E/O  ZANJA  ST,MITCHELL  AV  E/O  ZANJA  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=20912
1517,17997,20913,SAWTELLE  BL   AT  CULVER  DR,SAWTELLE  BL   AT  CULVER  DR,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=20913
1518,17999,22096,BRONWOOD AV E/O SEPULVEDA BL,BRONWOOD AV E/O SEPULVEDA BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=22096
1519,18797,59714,BALBOA BL N/O ROSCOE BL,BALBOA BL N/O ROSCOE BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=59714
1520,18828,56985,GLAMIS  ST  AT  EL  DORADO  AV,GLAMIS  ST  AT  EL  DORADO  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=56985
1521,16283,55931,LA MAIDA ST AT MAMMOTH AV,LA MAIDA ST AT MAMMOTH AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=55931
1522,16284,52732,RESEDA BL  AT  PLUMMER ST,RESEDA BL  AT  PLUMMER ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=52732
1523,16285,52805,ETIWANDA  AV  AT  NORDHOFF ST,ETIWANDA  AV  AT  NORDHOFF ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=52805
1524,16306,54053,DEVONSHIRE  ST  AT  WOODMAN  AV,DEVONSHIRE  ST  AT  WOODMAN  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=54053
1525,16309,53529,BALBOA  BL  AT  LASSEN  ST,BALBOA  BL  AT  LASSEN  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=53529
1526,17110,66783,98th ST AT WALL ST,98th ST AT WALL ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=66783
1527,17134,1330,SLAUSON AV  AT  DENKER  AV,SLAUSON AV  AT  DENKER  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=1330
1528,18001,19872,SUNSET  AV  AT  6TH  AV,SUNSET  AV  AT  6TH  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=19872
1529,18002,20966,ZANJA ST AT TIVOLI AV,ZANJA ST AT TIVOLI AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=20966
1530,18037,23550,NAPOLI  DR  AT  TOULON  DR,NAPOLI  DR  AT  TOULON  DR,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=23550
1531,18048,25243,NEWELL  ST  AT  RIPPLE  ST,NEWELL  ST  AT  RIPPLE  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=25243
